Script,Subject,Epoch,Train_loss,Train_accuracy,Val_loss,Val_accuracy
LT,2,1,6.9184,0.0012,6.9039,0.0014 
LT,2,2,6.8998,0.0017,6.8865,0.0029 
LT,2,3,6.8543,0.0029,6.7532,0.0039 
LT,2,4,6.4322,0.0078,5.6762,0.0274 
LT,2,5,5.1780,0.0456,3.7303,0.2191 
LT,2,6,3.3767,0.2075,1.7033,0.6138 
LT,2,7,1.8796,0.4735,0.7009,0.8391 
LT,2,8,1.0805,0.6720,0.3447,0.9183 
LT,2,9,0.6942,0.7813,0.2023,0.9514 
LT,2,10,0.4892,0.8428,0.1325,0.9674 
LT,2,11,0.37142962240553523,0.8797246753246754,0.09390170122017011,0.9771606060606061
LT,2,12,0.29461205543151925,0.9038376623376624,0.07075326686386357,0.9826484848484849
LT,2,13,0.24271447749784242,0.9203363636363636,0.05716208185859476,0.9859727272727272
LT,2,14,0.20499601366506381,0.9320623376623377,0.04513508092894247,0.9889848484848485
LT,2,15,0.1770164588026025,0.9413909090909091,0.03880511417222971,0.9902272727272727
LT,2,16,0.15466583828937697,0.9489506493506493,0.032094881501839014,0.9921969696969697
LT,2,17,0.13750464715378044,0.9546324675324676,0.027964660006603508,0.9932848484848484
LT,2,18,0.12321997448850375,0.9591961038961039,0.024315454737057516,0.9940151515151515
LT,2,19,0.11211465024546563,0.962725974025974,0.021616565408749563,0.9947
LT,2,20,0.1024408240973127,0.9660623376623376,0.019195451652384222,0.9952969696969697
