Script,Subject,Epoch,Train_loss,Train_accuracy,Val_loss,Val_accuracy
LT,0,1,6.9177,0.0012,6.9019,0.0018 
LT,0,2,6.8961,0.0018,6.8760,0.0025 
LT,0,3,6.8250,0.0029,6.6595,0.0053 
LT,0,4,6.2978,0.0084,5.5472,0.0319 
LT,0,5,5.1993,0.0393,4.0042,0.1658 
LT,0,6,3.6698,0.1668,2.0631,0.5254 
LT,0,7,2.1559,0.4122,0.8937,0.7898 
LT,0,8,1.2461,0.6266,0.4394,0.8935 
LT,0,9,0.7874,0.7540,0.2460,0.9404 
LT,0,10,0.5490,0.8243,0.1608,0.9612
LTBR,0,11,3.151436139622513,0.4019142857142857,2.046377707594917,0.5576514285714286
LTBR,0,12,1.8318707985829337,0.5403289795918368,0.773041631596429,0.8120895238095238
LTBR,0,13,0.9318295488527842,0.7229436734693877,0.2749748627557641,0.9373276190476192
LTBR,0,14,0.5272374769291099,0.8351485714285715,0.1258048764871699,0.9744666666666668
LTBR,0,15,0.3474107888876175,0.8895265306122448,0.071225790453099,0.9863790476190476
LTBR,0,16,0.2524048807426375,0.9190555102040816,0.0466517106668934,0.9907009523809523
LTBR,0,17,0.196063239925674,0.9371183673469388,0.0337226070751923,0.993415238095238
LTBR,0,18,0.1596468082642068,0.9487853061224488,0.0256090794343146,0.9950914285714286
LTBR,0,19,0.1334271978977687,0.9567191836734694,0.0195091884692332,0.9965161904761904
LTBR,0,20,0.1142607934598107,0.9631730612244898,0.0167592377356874,0.996672380952381
LT,1,1,6.9181,0.0010,6.9037,0.0012 
LT,1,2,6.9002,0.0014,6.8890,0.0021 
LT,1,3,6.8677,0.0022,6.7984,0.0029 
LT,1,4,6.5513,0.0052,5.9288,0.0164 
LT,1,5,5.5042,0.0265,4.3469,0.1228 
LT,1,6,3.9769,0.1268,2.3697,0.4641 
LT,1,7,2.4270,0.3532,1.0870,0.7463 
LT,1,8,1.4429,0.5727,0.5443,0.8700 
LT,1,9,0.9153,0.7155,0.2980,0.9290 
LT,1,10,0.6336,0.7977,0.1909,0.9542
LTBR,1,11,3.1536841654096333,0.4020995918367347,2.044244564419701,0.55812
LTBR,1,12,1.839330144020976,0.539115918367347,0.7761992965255465,0.8134419047619048
LTBR,1,13,0.9402330250399452,0.7209240816326531,0.2698659596358027,0.9404838095238096
LTBR,1,14,0.5296987082532474,0.8340342857142857,0.1288638664703993,0.9736190476190476
LTBR,1,15,0.3489514255037113,0.8887869387755102,0.0753252397704692,0.9845885714285716
LTBR,1,16,0.2534770340834345,0.9188530612244898,0.0499467404928235,0.9901676190476192
LTBR,1,17,0.1974077060684866,0.9365338775510204,0.0336222183551816,0.9939142857142858
LTBR,1,18,0.1587478337777512,0.9489755102040816,0.0250582456591406,0.9953142857142856
LTBR,1,19,0.1330491915453149,0.9571583673469388,0.0210642471683344,0.9959657142857142
LTBR,1,20,0.1144567413974781,0.9630930612244898,0.0162743598056424,0.9970857142857142
LT,2,1,6.9184,0.0012,6.9039,0.0014 
LT,2,2,6.8998,0.0017,6.8865,0.0029 
LT,2,3,6.8543,0.0029,6.7532,0.0039 
LT,2,4,6.4322,0.0078,5.6762,0.0274 
LT,2,5,5.1780,0.0456,3.7303,0.2191 
LT,2,6,3.3767,0.2075,1.7033,0.6138 
LT,2,7,1.8796,0.4735,0.7009,0.8391 
LT,2,8,1.0805,0.6720,0.3447,0.9183 
LT,2,9,0.6942,0.7813,0.2023,0.9514 
LT,2,10,0.4892,0.8428,0.1325,0.9674 
LTBR,2,11,3.1569029044423784,0.4014081632653061,2.041744357858385,0.5572742857142857
LTBR,2,12,1.8379021162500184,0.5388848979591837,0.7841422430163338,0.8097180952380952
LTBR,2,13,0.9373523235564328,0.7217102040816327,0.2715740315389065,0.9407580952380952
LTBR,2,14,0.5282480038051702,0.834745306122449,0.1263059521849666,0.973695238095238
LTBR,2,15,0.348281658546657,0.8889648979591837,0.0741559850484842,0.985247619047619
LTBR,2,16,0.2534530202071277,0.9186367346938776,0.0517929414657964,0.9890742857142856
LTBR,2,17,0.196867466130731,0.9367404081632652,0.0361288187084276,0.9928819047619049
LTBR,2,18,0.1595331638941959,0.948734693877551,0.0263455819999355,0.994944761904762
LTBR,2,19,0.1336152748807656,0.9567648979591836,0.0202459961792808,0.996144761904762
LTBR,2,20,0.1142007896025113,0.9633444897959184,0.0169916717657553,0.9966342857142856
LT,3,1,6.9168,0.0013,6.9006,0.0017 
LT,3,2,6.8934,0.0020,6.8684,0.0031 
LT,3,3,6.8011,0.0036,6.5808,0.0065 
LT,3,4,6.0796,0.0139,5.0690,0.0632 
LT,3,5,4.5466,0.0845,2.9030,0.3504 
LT,3,6,2.7618,0.2967,1.2598,0.7053 
LT,3,7,1.5377,0.5514,0.5453,0.8706 
LT,3,8,0.9145,0.7177,0.2860,0.9318 
LT,3,9,0.6038,0.8084,0.1740,0.9586 
LT,3,10,0.4352,0.8591,0.1148,0.9725 
LTBR,3,11,3.1591855447146355,0.4016751020408163,2.049160866964431,0.5579447619047619
LTBR,3,12,1.8460500443225003,0.538218775510204,0.7839494628338587,0.8098914285714286
LTBR,3,13,0.9424507159408256,0.7205991836734694,0.2728710652334349,0.9401409523809524
LTBR,3,14,0.5326823699462171,0.8332791836734694,0.1278867889089243,0.973712380952381
LTBR,3,15,0.3494010278728544,0.8885804081632653,0.0745427116137884,0.985704761904762
LTBR,3,16,0.2540693738807221,0.9183983673469388,0.0500806816575073,0.99008
LTBR,3,17,0.197436832334314,0.9365616326530612,0.0359704059489248,0.992624761904762
LTBR,3,18,0.1600832533574834,0.9484889795918368,0.026803754163019,0.9949371428571429
LTBR,3,19,0.1338291951328211,0.9568857142857145,0.0201565377652822,0.9962838095238096
LTBR,3,20,0.1139237435536116,0.9632244897959183,0.017016075906122,0.9966419047619048
LT,4,1,6.9192,0.0011,6.9049,0.0015 
LT,4,2,6.9015,0.0014,6.8909,0.0016 
LT,4,3,6.8694,0.0026,6.8029,0.0039 
LT,4,4,6.5761,0.0059,5.9739,0.0188 
LT,4,5,5.4045,0.0346,4.0025,0.1733 
LT,4,6,3.5996,0.1726,1.9635,0.5459 
LT,4,7,2.0860,0.4242,0.8496,0.8031 
LT,4,8,1.2020,0.6379,0.4101,0.9014 
LT,4,9,0.7595,0.7613,0.2386,0.9403 
LT,4,10,0.5311,0.8292,0.1537,0.9627
LTBR,4,11,3.1555090534346446,0.4006865306122449,2.0325837760652816,0.5591333333333334
LTBR,4,12,1.8385828650240996,0.5391542857142857,0.7772043122280212,0.8121428571428572
LTBR,4,13,0.9386886353176468,0.7212579591836735,0.2693053758484977,0.9402019047619048
LTBR,4,14,0.5311338906105684,0.8336122448979592,0.1278615702653215,0.97396
LTBR,4,15,0.3492651488872207,0.8885975510204082,0.0740909519486484,0.984975238095238
LTBR,4,16,0.2550614643370618,0.9182448979591836,0.0477795067064109,0.990544761904762
LTBR,4,17,0.1974732613043517,0.9367142857142856,0.0338488743063949,0.9935238095238096
LTBR,4,18,0.1602948187656548,0.9482310204081632,0.0252963728780547,0.9952876190476192
LTBR,4,19,0.1342640256291749,0.9566661224489796,0.0201320918208609,0.9961390476190476
LTBR,4,20,0.114471991728307,0.9631551020408164,0.0165024955282874,0.9970666666666668
