Script,Subject,Epoch,Train_loss,Train_accuracy,Val_loss,Val_accuracy
LT,0,1,6.9177,0.0012,6.9019,0.0018 
LT,0,2,6.8961,0.0018,6.8760,0.0025 
LT,0,3,6.8250,0.0029,6.6595,0.0053 
LT,0,4,6.2978,0.0084,5.5472,0.0319 
LT,0,5,5.1993,0.0393,4.0042,0.1658 
LT,0,6,3.6698,0.1668,2.0631,0.5254 
LT,0,7,2.1559,0.4122,0.8937,0.7898 
LT,0,8,1.2461,0.6266,0.4394,0.8935 
LT,0,9,0.7874,0.7540,0.2460,0.9404 
LT,0,10,0.5490,0.8243,0.1608,0.9612
LTLN,0,11,2.481706344872105,0.4518408163265306,0.6972369973205385,0.825272380952381
LTLN,0,12,0.8005864068853612,0.7547755102040816,0.1748401022283804,0.9628380952380952
LTLN,0,13,0.4083532849027186,0.8700685714285714,0.07809149529643,0.9850723809523808
LTLN,0,14,0.2660677283223794,0.9148767346938776,0.0454817321298732,0.9913980952380952
LTLN,0,15,0.1947689397833785,0.937250612244898,0.0301505946410553,0.9945561904761904
LTLN,0,16,0.153450167235063,0.9506122448979591,0.0220905086338697,0.9960914285714284
LTLN,0,17,0.1251855907757975,0.9595763265306122,0.0165756654344233,0.9971466666666666
LTLN,0,18,0.1063085824196436,0.9655289795918368,0.0131420216017535,0.9977904761904762
LTLN,0,19,0.0910930087875803,0.9705926530612244,0.0110667176026673,0.9981885714285714
LTLN,0,20,0.0799258679530146,0.9742702040816328,0.0102611403659296,0.9977428571428572
LT,1,1,6.9181,0.0010,6.9037,0.0012 
LT,1,2,6.9002,0.0014,6.8890,0.0021 
LT,1,3,6.8677,0.0022,6.7984,0.0029 
LT,1,4,6.5513,0.0052,5.9288,0.0164 
LT,1,5,5.5042,0.0265,4.3469,0.1228 
LT,1,6,3.9769,0.1268,2.3697,0.4641 
LT,1,7,2.4270,0.3532,1.0870,0.7463 
LT,1,8,1.4429,0.5727,0.5443,0.8700 
LT,1,9,0.9153,0.7155,0.2980,0.9290 
LT,1,10,0.6336,0.7977,0.1909,0.9542
LTLN,1,11,2.4802581632526555,0.4521877551020408,0.6953496068488983,0.8262457142857143
LTLN,1,12,0.8002558469930474,0.7547828571428571,0.1720993260060037,0.9645123809523808
LTLN,1,13,0.4076456560711471,0.8705044897959183,0.0777572786871876,0.9848666666666668
LTLN,1,14,0.2654668814418267,0.9149028571428572,0.0461825940766859,0.991112380952381
LTLN,1,15,0.1956390714307828,0.9369061224489796,0.0307264529514525,0.9942933333333334
LTLN,1,16,0.1533848609717524,0.9504628571428572,0.0226622984284268,0.9958438095238096
LTLN,1,17,0.1258369018646831,0.9593436734693878,0.0168884201113223,0.9970609523809524
LTLN,1,18,0.1059823549965358,0.9656742857142856,0.0134401478778482,0.997815238095238
LTLN,1,19,0.0911859850812779,0.9706228571428572,0.0120895304502032,0.9976590476190476
LTLN,1,20,0.0803472633540858,0.974088163265306,0.0094518920022196,0.9982380952380951
LT,2,1,6.9184,0.0012,6.9039,0.0014 
LT,2,2,6.8998,0.0017,6.8865,0.0029 
LT,2,3,6.8543,0.0029,6.7532,0.0039 
LT,2,4,6.4322,0.0078,5.6762,0.0274 
LT,2,5,5.1780,0.0456,3.7303,0.2191 
LT,2,6,3.3767,0.2075,1.7033,0.6138 
LT,2,7,1.8796,0.4735,0.7009,0.8391 
LT,2,8,1.0805,0.6720,0.3447,0.9183 
LT,2,9,0.6942,0.7813,0.2023,0.9514 
LT,2,10,0.4892,0.8428,0.1325,0.9674 
LTLN,2,11,2.479743730744537,0.452774693877551,0.6980208439826965,0.8269942857142857
LTLN,2,12,0.7990502921707776,0.755258775510204,0.1761873341727824,0.9617676190476192
LTLN,2,13,0.4058901197861652,0.8712351020408163,0.0773794974383144,0.9843790476190476
LTLN,2,14,0.2663198260561544,0.9143844897959184,0.0468060923749137,0.9909428571428572
LTLN,2,15,0.1955043942012957,0.9367951020408164,0.0306481582291779,0.9941638095238096
LTLN,2,16,0.1530319342564563,0.9505632653061225,0.0226465127741297,0.9958609523809524
LTLN,2,17,0.1255098361286277,0.9593820408163264,0.0173323243503414,0.9967771428571428
LTLN,2,18,0.1060065946023987,0.9655183673469389,0.0141602703485017,0.9974457142857144
LTLN,2,19,0.0917441343358736,0.970273469387755,0.0111090408349853,0.9980476190476192
LTLN,2,20,0.0793388049595666,0.9744179591836736,0.0093315704863939,0.9983466666666668
LT,3,1,6.9168,0.0013,6.9006,0.0017 
LT,3,2,6.8934,0.0020,6.8684,0.0031 
LT,3,3,6.8011,0.0036,6.5808,0.0065 
LT,3,4,6.0796,0.0139,5.0690,0.0632 
LT,3,5,4.5466,0.0845,2.9030,0.3504 
LT,3,6,2.7618,0.2967,1.2598,0.7053 
LT,3,7,1.5377,0.5514,0.5453,0.8706 
LT,3,8,0.9145,0.7177,0.2860,0.9318 
LT,3,9,0.6038,0.8084,0.1740,0.9586 
LT,3,10,0.4352,0.8591,0.1148,0.9725 
LTLN,3,11,2.4851828267476996,0.4518359183673469,0.6920276204120546,0.8287352380952381
LTLN,3,12,0.8011560794747605,0.7545951020408164,0.1700408355579489,0.9640742857142856
LTLN,3,13,0.4074016483499079,0.870509387755102,0.0785464865047307,0.9844590476190476
LTLN,3,14,0.2663627304653732,0.9145297959183674,0.0479855440784068,0.9902171428571428
LTLN,3,15,0.1951848478925471,0.9370008163265308,0.0311093618504348,0.9943180952380952
LTLN,3,16,0.1533892119919159,0.9504228571428572,0.0229737213372829,0.9956780952380953
LTLN,3,17,0.1253871369266084,0.9593379591836736,0.0181522699243699,0.9966571428571428
LTLN,3,18,0.1053200747551662,0.9660734693877552,0.0134650398046221,0.9976514285714284
LTLN,3,19,0.091383117839846,0.9704848979591836,0.0109768325359604,0.998055238095238
LTLN,3,20,0.079835402796235,0.9742416326530612,0.0093761535380035,0.9983028571428572
LT,4,1,6.9192,0.0011,6.9049,0.0015 
LT,4,2,6.9015,0.0014,6.8909,0.0016 
LT,4,3,6.8694,0.0026,6.8029,0.0039 
LT,4,4,6.5761,0.0059,5.9739,0.0188 
LT,4,5,5.4045,0.0346,4.0025,0.1733 
LT,4,6,3.5996,0.1726,1.9635,0.5459 
LT,4,7,2.0860,0.4242,0.8496,0.8031 
LT,4,8,1.2020,0.6379,0.4101,0.9014 
LT,4,9,0.7595,0.7613,0.2386,0.9403 
LT,4,10,0.5311,0.8292,0.1537,0.9627
LTLN,4,11,2.482371391860806,0.452429387755102,0.6908195304302942,0.8277961904761905
LTLN,4,12,0.8004749353588844,0.7551044897959184,0.1724985064906733,0.963655238095238
LTLN,4,13,0.4080621178697566,0.8702089795918367,0.0822679596156591,0.9835504761904762
LTLN,4,14,0.2654380194897554,0.9147869387755102,0.0457753699203687,0.99152
LTLN,4,15,0.1950397512043009,0.9371632653061224,0.0311427642274647,0.9940342857142858
LTLN,4,16,0.1527268973643682,0.9504416326530613,0.0227962132484785,0.9958704761904762
LTLN,4,17,0.1255826991308404,0.9595591836734694,0.0172695580914705,0.9969390476190476
LTLN,4,18,0.1056307804324493,0.965837551020408,0.0136463011860004,0.99752
LTLN,4,19,0.0918153746436749,0.9703485714285714,0.0113203408894395,0.9979866666666668
LTLN,4,20,0.0806241951490543,0.9740555102040817,0.0092202358824156,0.9983257142857144
