Script,Subject,Epoch,Train_loss,Train_accuracy,Val_loss,Val_accuracy
LT,0,1,6.9177,0.0012,6.9019,0.0018 
LT,0,2,6.8961,0.0018,6.8760,0.0025 
LT,0,3,6.8250,0.0029,6.6595,0.0053 
LT,0,4,6.2978,0.0084,5.5472,0.0319 
LT,0,5,5.1993,0.0393,4.0042,0.1658 
LT,0,6,3.6698,0.1668,2.0631,0.5254 
LT,0,7,2.1559,0.4122,0.8937,0.7898 
LT,0,8,1.2461,0.6266,0.4394,0.8935 
LT,0,9,0.7874,0.7540,0.2460,0.9404 
LT,0,10,0.5490,0.8243,0.1608,0.9612
LT,0,11,0.4118680458235276,0.8669350649350649,0.10891233910721812,0.9737636363636364
LT,0,12,0.32345889369582204,0.8946584415584415,0.0828670072465232,0.9795757575757575
LT,0,13,0.2637335069458206,0.9133948051948052,0.06404168036399466,0.9845242424242424
LT,0,14,0.22275590460312056,0.9266337662337663,0.052342576527629386,0.9873121212121212
LT,0,15,0.19099452548551482,0.9371337662337662,0.04242705935217214,0.9899666666666667
LT,0,16,0.16643427068053127,0.9449168831168832,0.03632924251836922,0.991360606060606
LT,0,17,0.14749910424185264,0.951061038961039,0.030939866981158654,0.9925454545454545
LT,0,18,0.13174540934044046,0.9563805194805195,0.027202569645349728,0.9932757575757576
LT,0,19,0.11943770865075193,0.9607246753246753,0.02411592084709837,0.9941484848484848
LT,0,20,0.1092936841328326,0.9639532467532468,0.021766912011697774,0.9946757575757575
LT,1,1,6.9181,0.0010,6.9037,0.0012 
LT,1,2,6.9002,0.0014,6.8890,0.0021 
LT,1,3,6.8677,0.0022,6.7984,0.0029 
LT,1,4,6.5513,0.0052,5.9288,0.0164 
LT,1,5,5.5042,0.0265,4.3469,0.1228 
LT,1,6,3.9769,0.1268,2.3697,0.4641 
LT,1,7,2.4270,0.3532,1.0870,0.7463 
LT,1,8,1.4429,0.5727,0.5443,0.8700 
LT,1,9,0.9153,0.7155,0.2980,0.9290 
LT,1,10,0.6336,0.7977,0.1909,0.9542
LT,1,11,0.47137850251484226,0.8474454545454545,0.13154232707890598,0.9684303030303031
LT,1,12,0.3664739287209201,0.8802116883116883,0.09778818506578153,0.9763545454545455
LT,1,13,0.29811281814784196,0.9019584415584415,0.07715436007263082,0.9814242424242424
LT,1,14,0.24968256452447407,0.9174285714285715,0.060460438318832806,0.9856121212121212
LT,1,15,0.21360187023926477,0.9291688311688312,0.05021013875068589,0.988030303030303
LT,1,16,0.18556936832894752,0.9385636363636364,0.04244170712927977,0.989930303030303
LT,1,17,0.16471302808347074,0.9451883116883116,0.03617894408278957,0.9911666666666666
LT,1,18,0.14696124193778673,0.951074025974026,0.03133495138294882,0.9925242424242424
LT,1,19,0.13259883872027714,0.9557987012987013,0.027203482449492156,0.9936151515151516
LT,1,20,0.11990434914875728,0.960151948051948,0.02510258573947023,0.9941090909090909
LT,2,1,6.9184,0.0012,6.9039,0.0014 
LT,2,2,6.8998,0.0017,6.8865,0.0029 
LT,2,3,6.8543,0.0029,6.7532,0.0039 
LT,2,4,6.4322,0.0078,5.6762,0.0274 
LT,2,5,5.1780,0.0456,3.7303,0.2191 
LT,2,6,3.3767,0.2075,1.7033,0.6138 
LT,2,7,1.8796,0.4735,0.7009,0.8391 
LT,2,8,1.0805,0.6720,0.3447,0.9183 
LT,2,9,0.6942,0.7813,0.2023,0.9514 
LT,2,10,0.4892,0.8428,0.1325,0.9674 
LT,2,11,0.37142962240553523,0.8797246753246754,0.09390170122017011,0.9771606060606061
LT,2,12,0.29461205543151925,0.9038376623376624,0.07075326686386357,0.9826484848484849
LT,2,13,0.24271447749784242,0.9203363636363636,0.05716208185859476,0.9859727272727272
LT,2,14,0.20499601366506381,0.9320623376623377,0.04513508092894247,0.9889848484848485
LT,2,15,0.1770164588026025,0.9413909090909091,0.03880511417222971,0.9902272727272727
LT,2,16,0.15466583828937697,0.9489506493506493,0.032094881501839014,0.9921969696969697
LT,2,17,0.13750464715378044,0.9546324675324676,0.027964660006603508,0.9932848484848484
LT,2,18,0.12321997448850375,0.9591961038961039,0.024315454737057516,0.9940151515151515
LT,2,19,0.11211465024546563,0.962725974025974,0.021616565408749563,0.9947
LT,2,20,0.1024408240973127,0.9660623376623376,0.019195451652384222,0.9952969696969697
LT,3,1,6.9168,0.0013,6.9006,0.0017 
LT,3,2,6.8934,0.0020,6.8684,0.0031 
LT,3,3,6.8011,0.0036,6.5808,0.0065 
LT,3,4,6.0796,0.0139,5.0690,0.0632 
LT,3,5,4.5466,0.0845,2.9030,0.3504 
LT,3,6,2.7618,0.2967,1.2598,0.7053 
LT,3,7,1.5377,0.5514,0.5453,0.8706 
LT,3,8,0.9145,0.7177,0.2860,0.9318 
LT,3,9,0.6038,0.8084,0.1740,0.9586 
LT,3,10,0.4352,0.8591,0.1148,0.9725 
LT,3,11,0.33491915577321085,0.8909519480519481,0.08152599162281012,0.9805787878787878
LT,3,12,0.2689466897146655,0.9117558441558442,0.06304891691345609,0.9846363636363636
LT,3,13,0.22273028414357793,0.9266051948051948,0.05049876027684094,0.9878787878787879
LT,3,14,0.1892866852115114,0.9376987012987013,0.04033652699806473,0.9902545454545455
LT,3,15,0.16503575103188103,0.9454337662337662,0.03404135552841719,0.9916757575757575
LT,3,16,0.14521146357833564,0.9521142857142857,0.029848632172850723,0.9924212121212121
LT,3,17,0.1294460615155275,0.9570584415584416,0.025237022034442898,0.9938272727272728
LT,3,18,0.11606287577999877,0.9616233766233766,0.02208036813264092,0.9945757575757576
LT,3,19,0.10599789822836975,0.9649558441558441,0.02014914718311929,0.9949757575757576
LT,3,20,0.09679279407413749,0.9678532467532468,0.01807603663937753,0.9954787878787879
LT,4,1,6.9192,0.0011,6.9049,0.0015 
LT,4,2,6.9015,0.0014,6.8909,0.0016 
LT,4,3,6.8694,0.0026,6.8029,0.0039 
LT,4,4,6.5761,0.0059,5.9739,0.0188 
LT,4,5,5.4045,0.0346,4.0025,0.1733 
LT,4,6,3.5996,0.1726,1.9635,0.5459 
LT,4,7,2.0860,0.4242,0.8496,0.8031 
LT,4,8,1.2020,0.6379,0.4101,0.9014 
LT,4,9,0.7595,0.7613,0.2386,0.9403 
LT,4,10,0.5311,0.8292,0.1537,0.9627
LT,4,11,0.40154880709462354,0.8691142857142857,0.1083223690634424,0.973469696969697
LT,4,12,0.317580247051143,0.8960675324675325,0.080560287163226,0.9802333333333333
LT,4,13,0.26029401231121707,0.9141194805194806,0.06568483885321201,0.983560606060606
LT,4,14,0.21947822420144236,0.9275454545454546,0.05210936909400378,0.9872575757575758
LT,4,15,0.19078960828628247,0.9369168831168831,0.0431171841693647,0.9893787878787879
LT,4,16,0.1657348877506016,0.9449142857142857,0.03692694287253261,0.9908181818181818
LT,4,17,0.14713548039654634,0.9514090909090909,0.03219811668732401,0.9919181818181818
LT,4,18,0.13305140836503018,0.9557285714285715,0.028185048726895316,0.9929848484848485
LT,4,19,0.12030354930958771,0.9599571428571428,0.025040178675218627,0.9938303030303031
LT,4,20,0.1096066701920195,0.9634987012987013,0.0228789339246313,0.9941636363636364
