Script,Subject,Epoch,Train_loss,Train_accuracy,Val_loss,Val_accuracy
LT,0,1,6.9177,0.0012,6.9019,0.0018 
LT,0,2,6.8961,0.0018,6.8760,0.0025 
LT,0,3,6.8250,0.0029,6.6595,0.0053 
LT,0,4,6.2978,0.0084,5.5472,0.0319 
LT,0,5,5.1993,0.0393,4.0042,0.1658 
LT,0,6,3.6698,0.1668,2.0631,0.5254 
LT,0,7,2.1559,0.4122,0.8937,0.7898 
LT,0,8,1.2461,0.6266,0.4394,0.8935 
LT,0,9,0.7874,0.7540,0.2460,0.9404 
LT,0,10,0.5490,0.8243,0.1608,0.9612 
LT,1,1,6.9181,0.0010,6.9037,0.0012 
LT,1,2,6.9002,0.0014,6.8890,0.0021 
LT,1,3,6.8677,0.0022,6.7984,0.0029 
LT,1,4,6.5513,0.0052,5.9288,0.0164 
LT,1,5,5.5042,0.0265,4.3469,0.1228 
LT,1,6,3.9769,0.1268,2.3697,0.4641 
LT,1,7,2.4270,0.3532,1.0870,0.7463 
LT,1,8,1.4429,0.5727,0.5443,0.8700 
LT,1,9,0.9153,0.7155,0.2980,0.9290 
LT,1,10,0.6336,0.7977,0.1909,0.9542 
LT,2,1,6.9184,0.0012,6.9039,0.0014 
LT,2,2,6.8998,0.0017,6.8865,0.0029 
LT,2,3,6.8543,0.0029,6.7532,0.0039 
LT,2,4,6.4322,0.0078,5.6762,0.0274 
LT,2,5,5.1780,0.0456,3.7303,0.2191 
LT,2,6,3.3767,0.2075,1.7033,0.6138 
LT,2,7,1.8796,0.4735,0.7009,0.8391 
LT,2,8,1.0805,0.6720,0.3447,0.9183 
LT,2,9,0.6942,0.7813,0.2023,0.9514 
LT,2,10,0.4892,0.8428,0.1325,0.9674 
LT,3,1,6.9168,0.0013,6.9006,0.0017 
LT,3,2,6.8934,0.0020,6.8684,0.0031 
LT,3,3,6.8011,0.0036,6.5808,0.0065 
LT,3,4,6.0796,0.0139,5.0690,0.0632 
LT,3,5,4.5466,0.0845,2.9030,0.3504 
LT,3,6,2.7618,0.2967,1.2598,0.7053 
LT,3,7,1.5377,0.5514,0.5453,0.8706 
LT,3,8,0.9145,0.7177,0.2860,0.9318 
LT,3,9,0.6038,0.8084,0.1740,0.9586 
LT,3,10,0.4352,0.8591,0.1148,0.9725 
LT,4,1,6.9192,0.0011,6.9049,0.0015 
LT,4,2,6.9015,0.0014,6.8909,0.0016 
LT,4,3,6.8694,0.0026,6.8029,0.0039 
LT,4,4,6.5761,0.0059,5.9739,0.0188 
LT,4,5,5.4045,0.0346,4.0025,0.1733 
LT,4,6,3.5996,0.1726,1.9635,0.5459 
LT,4,7,2.0860,0.4242,0.8496,0.8031 
LT,4,8,1.2020,0.6379,0.4101,0.9014 
LT,4,9,0.7595,0.7613,0.2386,0.9403 
LT,4,10,0.5311,0.8292,0.1537,0.9627
